employee_number,gender,birth_year,age,marital_status,dist_home,job_title,department,terminated,year_at_comp,year_current_role,standard_hours,remote,business_travel,over_time,job_level,stock_opt_level,traning_times_last_year,perf_rate,year_last_promotion,year_current_mngr,education_field,education_scale,annual_salary,monthly_income,daily_rate,hourly_rate,monthly_rate,perc_salary_hike,env_sat_rate,job_involvement,job_sat_rate,relationship_sat_rate,work_life_balance,num_comp_worked,tot_working_year
1,M,1972,51,,6,Research Director,Research & Development,No,20,,Full Time,Yes,,No,5,0,5,"3,0",15,15,,3,195370.0,16280.83,2015.7222222222224,,"42330,17$",13,1,3,3,3,"3,0",7,
2,M,1971,52,,1,Manager,,No,33,,,Yes,,,5,1,5,"3,0",11,9,Life Sciences,4,199990.0,16125.406666666668,2063.3888888888887,,"43331,17$",14,3,2,3,1,"3,0",0,"34,0"
3,M,1981,42,Married,4,Manager,Research & Development,No,22,,,Yes,travel_rarely,No,5,0,3,"3,0",11,15,Technical Degree,2,192320.0,15943.72,1984.253968253968,,"41669,33$",11,3,3,4,4,,1,"22,0"
4,F,1976,47,Married,2,Research Director,Research & Development,No,20,,Full Time,No,travel_rarely,,4,2,2,"3,0",5,6,Medical,4,171690.0,14307.5,1771.4047619047622,,"37199,50$",19,1,3,3,2,,3,
5,F,1977,46,Divorced,3,Sales Executive,Sales,No,19,,,No,,No,4,1,5,"3,0",2,8,Technical Degree,3,153407.07,12783.92,1582.7713464696226,,"33238,20$",12,1,4,1,4,"3,0",2,
6,F,1975,48,,22,Manager,Research & Development,No,22,,,Yes,,No,4,1,3,"3,0",4,7,Medical,3,171503.33333333334,14311.67,1771.920634920635,,"37210,33$",11,4,3,4,2,"3,0",3,
7,F,1964,59,,25,Sales Executive,Sales,No,21,,Part Time,Yes,,,3,0,3,"3,0",7,9,Life Sciences,3,100071.84,8339.32,1032.4872861766066,,"21682,23$",11,1,3,1,4,"2,0",7,"28,0"
8,M,1981,42,Married,1,Sales Executive,Sales,No,20,,Part Time,No,travel_rarely,No,2,0,3,"4,0",11,6,,1,53914.11,4492.84,556.2566609977324,69.53208262471655,"11681,39$",25,2,3,3,3,"3,0",1,"20,0"
9,F,1982,41,Married,2,Manager,,No,18,,Full Time,Yes,,No,4,1,2,"3,0",11,8,,5,165950.0,13829.17,1712.1825396825398,,"35955,83$",16,2,3,1,2,"3,0",7,"22,0"
10,M,1982,41,,9,Research Director,Research & Development,No,18,,,No,travel_frequently,No,5,1,2,"3,0",0,11,,3,191324.62,15943.72,1973.9841269841268,,"41453,67$",17,1,3,3,2,"4,0",2,"21,0"
11,F,1982,41,,7,Research Director,Research & Development,No,21,,Full Time,No,non-travel,No,5,2,3,"4,0",5,10,,1,199730.0,16644.17,2060.7063492063494,,"43274,83$",22,2,1,3,2,"3,0",1,
12,M,1967,56,Married,23,Manufacturing Director,Research & Development,No,19,,Full Time,No,travel_rarely,Yes,4,1,0,,15,9,Life Sciences,3,134020.0,11013.333333333334,1382.7460317460318,172.84325396825398,"29037,67$",12,4,3,2,1,"3,0",4,"33,0"
13,F,1985,38,Married,10,Research Director,Research & Development,No,18,,Full Time,Yes,,No,3,1,3,"3,0",1,11,Medical,3,132060.0,11013.333333333334,1362.5238095238096,,"28613,00$",12,2,1,3,1,"3,0",3,
14,F,1982,41,Married,12,Research Director,Research & Development,Yes,22,,Full Time,No,travel_rarely,No,5,0,0,"3,0",15,8,,3,195450.0,16125.406666666668,2016.547619047619,,"42347,50$",12,2,3,3,4,"3,0",1,
15,M,1968,55,Single,14,Research Director,Research & Development,No,24,,,Yes,,No,5,0,3,"3,0",2,15,Medical,4,191324.62,15943.72,1973.9841269841268,,"41453,67$",11,3,4,2,4,"3,0",8,
16,F,1983,40,,2,Manager,,No,20,,Full Time,No,travel_rarely,No,5,0,2,"3,0",1,12,,4,180410.0,15034.17,1861.373015873016,,"39088,83$",14,3,3,3,4,"3,0",0,
17,M,1965,58,Single,2,Research Director,Research & Development,Yes,31,,Full Time,No,travel_rarely,Yes,5,0,2,"3,0",13,8,,4,192460.0,16038.33,1985.6984126984123,,"41699,67$",12,4,3,2,4,"3,0",7,"40,0"
18,F,1977,46,,2,Manager,,No,26,,,No,travel_rarely,,4,0,2,"4,0",15,9,,3,153407.07,12783.92,1582.7713464696226,,"33238,20$",23,3,3,1,1,"3,0",8,"28,0"
19,M,1988,35,Married,-13,Research Scientist,Research & Development,No,16,,,No,,,2,0,2,"3,0",1,10,Life Sciences,5,53914.11000000001,4492.84,556.2566609977324,,"11681,39$",11,2,4,1,4,"3,0",1,
20,F,1983,40,,15,Manufacturing Director,Research & Development,No,18,,,Yes,travel_rarely,,3,2,2,"3,0",14,12,Life Sciences,3,100071.84000000001,8339.32,1032.4872861766066,,"21682,23$",13,1,2,3,4,,1,"18,0"
21,M,1978,45,,1,Healthcare Representative,Research & Development,No,23,,Full Time,No,non-travel,,3,1,3,"4,0",14,4,,1,107480.0,8956.67,1108.920634920635,,"23287,33$",23,3,2,3,4,"2,0",3,"25,0"
22,F,1990,33,Single,1,Research Director,Research & Development,No,15,,Part Time,Yes,,Yes,3,0,1,"3,0",8,12,Life Sciences,2,100071.84,8339.32,1032.4872861766066,,"21682,23$",12,1,3,4,3,"3,0",1,"15,0"
23,F,1987,36,Divorced,8,Healthcare Representative,Research & Development,No,17,,,Yes,,,3,3,2,,12,8,,3,100071.84,8339.32,1032.4872861766066,,"21682,23$",13,3,3,3,2,"3,0",1,"17,0"
24,F,1976,47,Married,2,Manager,,No,26,,Full Time,No,,,4,1,3,"3,0",3,0,Other,2,167520.0,13859.166666666666,1728.3809523809523,216.0476190476191,"36296,00$",11,3,3,4,3,"2,0",1,
25,M,1987,36,,-42,Sales Executive,Sales,No,18,,Full Time,Yes,travel_rarely,,2,1,1,"3,0",4,11,Life Sciences,2,62010.0,5167.5,639.7857142857143,79.97321428571429,"13435,50$",14,42,3,4,4,,1,"18,0"
26,F,1988,35,Married,9,Manufacturing Director,Research & Development,No,17,,Part Time,No,,Yes,3,1,2,"4,0",5,15,Life Sciences,3,100071.84,8339.32,1032.4872861766066,129.06091077207583,"21682,23$",20,4,2,3,2,"3,0",1,"17,0"
27,F,1971,52,Married,2,Manager,,Yes,32,,Full Time,Yes,,No,5,1,3,"3,0",6,9,,1,198450.0,16125.406666666668,2047.5,,"42997,50$",15,1,1,4,4,"3,0",1,"33,0"
28,F,1987,36,Single,2,Manufacturing Director,Research & Development,No,16,,,No,,Yes,2,0,2,"3,0",5,12,Life Sciences,4,53914.11,4492.84,556.2566609977324,,"11681,39$",11,3,3,2,4,"3,0",9,"18,0"
29,M,1990,33,Married,28,Laboratory Technician,Research & Development,No,15,,Part Time,Yes,travel_rarely,,2,1,3,"3,0",5,7,Life Sciences,4,53914.11,4492.84,556.2566609977324,69.53208262471655,"11681,39$",12,2,3,3,2,"3,0",1,"15,0"
30,M,1989,34,,10,Sales Executive,Sales,No,15,,Part Time,Yes,non-travel,Yes,2,1,3,"3,0",0,7,Life Sciences,3,40010.0,3334.17,412.8015873015873,,"8668,83$",14,4,3,3,3,"3,0",1,"15,0"
31,F,1982,41,Divorced,-37,Sales Executive,Sales,No,22,,Full Time,Yes,,,3,1,3,"3,0",13,5,,1,104470.0,8705.83,1077.8650793650793,,"22635,17$",13,37,3,3,4,"4,0",0,
32,M,1976,47,,25,Healthcare Representative,Research & Development,No,17,,,Yes,,,3,0,3,"4,0",12,11,Medical,3,100071.84000000001,8339.32,1032.4872861766066,,"21682,23$",23,1,3,3,2,"3,0",2,"25,0"
33,F,1970,53,,5,Manager,,No,14,,Full Time,Yes,travel_rarely,,5,1,3,"3,0",4,8,,3,191324.62,15943.72,1973.9841269841268,246.74801587301585,"41453,67$",11,3,3,3,4,"2,0",4,"26,0"
34,M,1988,35,Single,1,Sales Executive,Sales,No,15,,Part Time,No,,No,2,0,2,,2,8,Marketing,4,53914.11,4492.84,556.2566609977324,69.53208262471655,"11681,39$",14,3,2,1,2,"3,0",0,"16,0"
